英國電視,#genre#
东方卫视,http://127.0.0.1:8081/hbgd.php?id=dfwshd
浙江卫视,http://127.0.0.1:8081/hbgd.php?id=zjwshd
北京卫视,http://127.0.0.1:8081/hbgd.php?id=bjwshd
江苏卫视,http://127.0.0.1:8081/hbgd.php?id=jswshd
安徽卫视,http://127.0.0.1:8081/hbgd.php?id=ahwshd
山东卫视,http://127.0.0.1:8081/hbgd.php?id=sdwdhd
河南卫视,http://127.0.0.1:8081/hbgd.php?id=henwshd
四川卫视,http://127.0.0.1:8081/hbgd.php?id=scwshd
河北卫视,http://127.0.0.1:8081/hbgd.php?id=hebws
吉林卫视,http://127.0.0.1:8081/hbgd.php?id=jlwshd
黑龙江卫视,http://127.0.0.1:8081/hbgd.php?id=hljwshd
辽宁卫视,http://127.0.0.1:8081/hbgd.php?id=lnwshd
广东卫视,http://127.0.0.1:8081/hbgd.php?id=gdwshd
深圳卫视,http://127.0.0.1:8081/hbgd.php?id=szwshd
重庆卫视,http://127.0.0.1:8081/hbgd.php?id=cqwshd
东南卫视,http://127.0.0.1:8081/hbgd.php?id=dnwshd
广西卫视,http://127.0.0.1:8081/hbgd.php?id=gxwshd
贵州卫视,http://127.0.0.1:8081/hbgd.php?id=gzwshd
江西卫视,http://127.0.0.1:8081/hbgd.php?id=jxwshd
天津卫视,http://127.0.0.1:8081/hbgd.php?id=tjwshd
云南卫视,http://127.0.0.1:8081/hbgd.php?id=ynws
山西卫视,http://127.0.0.1:8081/hbgd.php?id=sxws
陕西卫视,http://127.0.0.1:8081/hbgd.php?id=shxws
甘肃卫视,http://127.0.0.1:8081/hbgd.php?id=gsws
宁夏卫视,http://127.0.0.1:8081/hbgd.php?id=nxws
内蒙古卫视,http://127.0.0.1:8081/hbgd.php?id=nmws
青海卫视,http://127.0.0.1:8081/hbgd.php?id=qhws
海南卫视,http://127.0.0.1:8081/hbgd.php?id=hainwshd
新疆卫视,http://127.0.0.1:8081/hbgd.php?id=xjws
西藏卫视,http://127.0.0.1:8081/hbgd.php?id=xzws
兵团卫视,http://127.0.0.1:8081/hbgd.php?id=btws
湖北综合,http://127.0.0.1:8081/hbgd.php?id=hbzhhd
cctv1,http://127.0.0.1:8081/hbgd.php?id=hbjsjd
湖北公共·新闻,http://127.0.0.1:8081/hbgd.php?id=hbgghd
湖北教育,http://127.0.0.1:8081/hbgd.php?id=hbjy
湖北生活,http://127.0.0.1:8081/hbgd.php?id=hbsh
湖北影视,http://127.0.0.1:8081/hbgd.php?id=hbys
中国教育电视台-1,http://127.0.0.1:8081/hbgd.php?id=zgjy1hd
中国教育电视台-4,http://127.0.0.1:8081/hbgd.php?id=zgjy4
金鹰卡通,http://127.0.0.1:8081/hbgd.php?id=jjkt
嘉佳卡通,http://127.0.0.1:8081/hbgd.php?id=jiajkt
北京纪实科教,http://127.0.0.1:8081/hbgd.php?id=dajs
jyjs,http://127.0.0.1:8081/hbgd.php?id=jyjs
cgtn,http://127.0.0.1:8081/hbgd.php?id=cctvnews
家庭理财,http://127.0.0.1:8081/hbgd.php?id=jtlc
卡酷少儿,http://127.0.0.1:8081/hbgd.php?id=kkse
劲爆体育,http://127.0.0.1:8081/hbgd.php?id=shjs
中国天气,http://127.0.0.1:8081/hbgd.php?id=zgqx

中國大陸ip6,#genre#
上海新闻,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221226136/1.m3u8
上海都市,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225749/1.m3u8
法治天地,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225994/1.m3u8
至臻视界,http://[2409:8087:1e01:20::3]/PLTV/11/224/3221225687/1.m3u8
