央视频道,#genre#
怀化综合,http://iptv.666230.xyz/iptv/hnyx.php/hhxw
湘西综合,http://iptv.666230.xyz/iptv/hnyx.php/xxxw
张家界综合,http://iptv.666230.xyz/iptv/hnyx.php/zjjxw
娄底综合,http://iptv.666230.xyz/iptv/hnyx.php/ldxw
央视外语,#genre#
CGTN,http://iptv.666230.xyz/iptv/hnyx.php/CGTN
CGTN阿拉伯语,http://iptv.666230.xyz/iptv/hnyx.php/CGTN_A
CGTN西班牙语,http://iptv.666230.xyz/iptv/hnyx.php/CGTN_E
CGTN法语,http://iptv.666230.xyz/iptv/hnyx.php/CGTN_F
CGTN俄语,http://iptv.666230.xyz/iptv/hnyx.php/CGTN_R
